location,average_cost,minimum_order,rating,votes,delivery_time,is_rating,is_votes,average_cost_cat,minimum_order_less_50,rating_cat,fast,medium,slow,is_bakery_nf_,city_nf_,rating_votes
Delhi University-GTB Nagar,200.0,50.0,3.7,575.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,7.66270286044753
"Yerawada, Pune, Maharashtra",750.0,50.0,4.3,108.0,45 minutes,1,1,1,0,greater_equal_4,1,0,2,0,Pune,6.140746249823736
"Musi Nagar, Malakpet, Hyderabad",100.0,50.0,3.3,37.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Hyderabad,4.804840381116659
"Raja Bazar, Kolkata",200.0,50.0,4.1,410.0,45 minutes,1,1,0,0,greater_equal_4,1,0,1,0,Kolkata,7.427144133408616
"Nathan Road, Mangaldas Road, Pune",200.0,50.0,3.3,6.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Pune,2.9856819377004893
"Jaya Nagar, Saidabad, Hyderabad",200.0,50.0,3.5,32.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Hyderabad,4.718498871295094
"FTI College, Law College Road, Pune",100.0,50.0,4.2,423.0,45 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Pune,7.4824567043356005
"Sector 1, Noida",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,3,0,0,Noida,0.0
Majestic,200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Bengaluru,0.0
Mumbai Central,200.0,50.0,4.0,79.0,30 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Mumbai,5.755742213586912
"Nathan Road, Mangaldas Road, Pune",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Pune,0.0
"Sector 63A,Gurgaon",200.0,50.0,3.6,78.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Gurgaon,5.637642672151656
"Sector 14, Noida",150.0,99.0,2.7,42.0,65 minutes,1,1,0,1,less_3,2,0,0,1,Noida,4.730921391293652
"Jaya Nagar, Saidabad, Hyderabad",100.0,50.0,3.2,10.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Hyderabad,3.4657359027997265
"Yerawada, Pune, Maharashtra",700.0,50.0,4.2,424.0,45 minutes,1,1,1,0,greater_equal_4,1,2,3,0,Pune,7.484817980521281
Delhi University-GTB Nagar,200.0,50.0,3.6,77.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Delhi,5.624739267315748
"Sector 3, Marathalli",100.0,50.0,3.2,60.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,5.2574953720277815
Delhi Cantt.,300.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,1,1,0,0,Delhi,0.0
"Delhi High Court, India Gate",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Delhi,0.0
Delhi Cantt.,200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Delhi,0.0
Pune University,100.0,50.0,2.9,144.0,45 minutes,1,1,0,0,less_3,1,2,0,0,Pune,6.0345240365684285
"Rmz Centennial, I Gate, Whitefield",250.0,50.0,4.0,812.0,30 minutes,1,1,1,0,greater_equal_4,1,0,2,0,Bengaluru,8.085794701281568
"Sector 63A,Gurgaon",200.0,99.0,3.8,114.0,65 minutes,1,1,0,1,3_to_3.9,0,4,0,0,Gurgaon,6.071199515126835
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.5,11.0,30 minutes,1,1,0,0,3_to_3.9,3,1,0,0,Bengaluru,3.6506582412937387
"Delhi High Court, India Gate",100.0,50.0,3.4,37.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,4.8346933442663405
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,3.8,10.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Bengaluru,3.6375861597263857
"Rmz Centennial, I Gate, Whitefield",150.0,50.0,3.8,46.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Bengaluru,5.163642463221435
"Sandhurst Road, Mumbai CST Area",100.0,50.0,3.7,55.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Mumbai,5.31566600488265
"Delhi Administration Flats, Timarpur",50.0,50.0,3.2,8.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,3.242592351485517
"D-Block, Sector 63, Noida",150.0,50.0,3.2,18.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,4.053522567701846
Mumbai Central,200.0,50.0,3.6,28.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Mumbai,4.613138355637268
"Nathan Road, Mangaldas Road, Pune",350.0,50.0,4.4,331.0,30 minutes,1,1,1,0,greater_equal_4,1,0,1,0,Pune,7.283722916301278
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.8,434.0,45 minutes,1,1,0,0,3_to_3.9,3,1,0,0,Gurgaon,7.408045600832745
"Tejas Nagar Colony, Wadala West, Mumbai",100.0,50.0,3.3,45.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Mumbai,5.000584958242754
"Moulali, Kolkata",200.0,50.0,4.1,410.0,45 minutes,1,1,0,0,greater_equal_4,1,0,1,0,Kolkata,7.427144133408616
Delhi University-GTB Nagar,100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Delhi,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.5,4.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Bengaluru,2.6390573296152584
"Sector 3, Marathalli",300.0,50.0,3.6,579.0,45 minutes,1,1,1,0,3_to_3.9,0,3,2,0,Bengaluru,7.64223632303506
"Delhi Administration Flats, Timarpur",250.0,50.0,4.4,243.0,30 minutes,1,1,1,0,greater_equal_4,1,0,0,0,Delhi,6.974665984264764
"D-Block, Sector 63, Noida",100.0,50.0,3.5,18.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,4.143134726391533
"Tiretti, Kolkata",100.0,50.0,3.5,29.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Kolkata,4.620058798481842
Delhi Cantt.,100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,1,0,Delhi,0.0
Delhi Cantt.,100.0,50.0,3.8,190.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,6.582025138892826
"Sandhurst Road, Mumbai CST Area",150.0,0.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,2,1,0,Mumbai,0.0
"Sector 14, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,1,Noida,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",50.0,50.0,3.5,9.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,3.449987545831587
"FTI College, Law College Road, Pune",150.0,50.0,3.2,8.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,3.242592351485517
"Sector 1, Noida",250.0,50.0,2.6,67.0,30 minutes,1,1,1,0,less_3,0,2,1,0,Noida,5.160204064418402
"Rmz Centennial, I Gate, Whitefield",150.0,50.0,3.9,211.0,30 minutes,1,1,0,0,3_to_3.9,4,0,0,0,Bengaluru,6.712834686611667
"Sector 3, Marathalli",200.0,50.0,3.0,16.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,3.871201010907891
Delhi University-GTB Nagar,400.0,50.0,4.1,154.0,30 minutes,1,1,1,0,greater_equal_4,2,1,1,0,Delhi,6.447939576123892
"FTI College, Law College Road, Pune",150.0,50.0,3.5,65.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Pune,5.427150238391005
Mumbai Central,400.0,50.0,3.7,611.0,45 minutes,1,1,1,0,3_to_3.9,0,0,1,0,Mumbai,7.7234297788217745
"FTI College, Law College Road, Pune",300.0,50.0,3.6,37.0,45 minutes,1,1,1,0,3_to_3.9,0,3,0,0,Pune,4.891851758106289
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200.0,50.0,4.3,101.0,30 minutes,1,1,0,0,greater_equal_4,1,2,0,0,Gurgaon,6.073735539540776
"D-Block, Sector 63, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,1,0,0,Noida,0.0
"Sector 14, Noida",50.0,99.0,2.8,28.0,30 minutes,1,1,0,1,less_3,1,0,0,0,Noida,4.361823927356362
Delhi University-GTB Nagar,200.0,50.0,3.4,221.0,65 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Delhi,6.621938133139868
"MG Road, Pune",200.0,50.0,3.4,7.0,30 minutes,1,1,0,0,3_to_3.9,4,0,0,0,Pune,3.169685580677429
"FTI College, Law College Road, Pune",200.0,50.0,3.5,42.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Pune,4.990432586778736
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Bengaluru,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,1.0,1.0,45 minutes,0,0,0,0,less_3,1,0,0,0,Bengaluru,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,3.8,96.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,5.899349258200176
Mumbai Central,200.0,50.0,3.6,27.0,30 minutes,1,1,0,0,3_to_3.9,0,2,1,0,Mumbai,4.576770711466393
"FTI College, Law College Road, Pune",200.0,50.0,3.2,6.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,2.954910279033736
"Sector 14, Noida",200.0,200.0,3.9,336.0,120 minutes,1,1,0,1,3_to_3.9,2,0,0,1,Noida,7.178087713098805
"Sandhurst Road, Mumbai CST Area",150.0,50.0,3.9,209.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Mumbai,6.703310805100412
"Delhi High Court, India Gate",100.0,50.0,3.4,16.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,3.996364153861897
"Sector 1, Noida",100.0,50.0,4.0,431.0,45 minutes,1,1,0,0,greater_equal_4,2,0,0,0,Noida,7.452402451223638
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.9,126.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,6.197258460087078
"Rmz Centennial, I Gate, Whitefield",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Bengaluru,0.0
Majestic,100.0,50.0,3.9,35.0,30 minutes,1,1,0,0,3_to_3.9,3,2,0,0,Bengaluru,4.916324614625014
"Moulali, Kolkata",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Kolkata,0.0
"Sector 1, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.2,4.0,45 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,2.5494451709255714
Mumbai Central,100.0,50.0,3.9,127.0,45 minutes,1,1,0,0,3_to_3.9,0,0,1,0,Mumbai,6.2051636395941925
"Gora Bazar, Rajbari, North Dumdum, Kolkata",50.0,50.0,3.2,359.0,30 minutes,1,1,0,0,3_to_3.9,0,6,1,0,Kolkata,7.04647319829396
"Sector 1, Noida",150.0,50.0,2.9,1.0,30 minutes,1,0,0,0,less_3,2,1,1,0,Noida,1.0647107369924282
Delhi Cantt.,200.0,50.0,3.0,6.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,2.8903717578961645
"Sector 14, Noida",650.0,99.0,4.5,436.0,45 minutes,1,1,1,1,greater_equal_4,0,1,1,0,Noida,7.581719640125308
"Sector 1, Noida",200.0,50.0,3.9,254.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Noida,6.898310820154137
"Sector 14, Noida",250.0,99.0,4.4,1563.0,65 minutes,1,1,1,1,greater_equal_4,2,0,0,0,Noida,8.835966871345692
"Babarpur, New Delhi, Delhi",150.0,50.0,3.5,10.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Delhi,3.5553480614894135
Delhi University-GTB Nagar,100.0,50.0,3.6,73.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,5.571393286610456
Delhi University-GTB Nagar,150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,3,0,0,Delhi,0.0
"Babarpur, New Delhi, Delhi",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Delhi,0.0
"Delhi Administration Flats, Timarpur",200.0,50.0,3.9,306.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,1,Delhi,7.084561655087981
"Moulali, Kolkata",100.0,50.0,3.7,23.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Kolkata,4.443827035579329
Mumbai Central,550.0,50.0,4.3,2947.0,45 minutes,1,1,1,0,greater_equal_4,0,0,2,0,Mumbai,9.447158005437212
"Sandhurst Road, Mumbai CST Area",250.0,50.0,3.4,90.0,45 minutes,1,1,1,0,3_to_3.9,3,0,0,0,Mumbai,5.723585101952381
"Raja Bazar, Kolkata",500.0,50.0,3.8,161.0,30 minutes,1,1,1,0,3_to_3.9,0,3,1,0,Kolkata,6.416405431716803
"Musi Nagar, Malakpet, Hyderabad",200.0,50.0,3.6,52.0,30 minutes,1,1,0,0,3_to_3.9,1,0,1,0,Hyderabad,5.232177564043492
Pune University,400.0,50.0,2.8,16.0,30 minutes,1,1,1,0,less_3,0,2,0,0,Pune,3.8022081394209395
"D-Block, Sector 63, Noida",200.0,50.0,3.6,34.0,65 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Noida,4.807294370078226
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.6,27.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,4.576770711466393
"D-Block, Sector 63, Noida",150.0,50.0,3.8,61.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,5.445874930905651
"Sector 1, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
"Delhi Administration Flats, Timarpur",200.0,50.0,3.7,302.0,45 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Delhi,7.018759837025049
"Sector 3, Marathalli",250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,2,2,0,Bengaluru,0.0
"Moulali, Kolkata",150.0,50.0,3.4,20.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Kolkata,4.219507705176107
"Sector 1, Noida",200.0,50.0,3.4,19.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Noida,4.168214410788556
"FTI College, Law College Road, Pune",200.0,50.0,3.5,89.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Pune,5.741399338227508
Delhi Cantt.,500.0,50.0,3.9,153.0,65 minutes,1,1,1,0,3_to_3.9,0,2,2,0,Delhi,6.391414474528036
"Tiretti, Kolkata",100.0,50.0,3.3,11.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Kolkata,3.591817741270805
"Dockyard Road, Mumbai CST Area",450.0,200.0,3.8,2534.0,65 minutes,1,1,1,1,3_to_3.9,0,2,1,0,Mumbai,9.172555427613425
Delhi Cantt.,150.0,50.0,3.4,21.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,4.268297869345538
Mumbai Central,400.0,99.0,3.3,51.0,65 minutes,1,1,1,1,3_to_3.9,1,2,2,0,Mumbai,5.12574810119676
"Sandhurst Road, Mumbai CST Area",100.0,50.0,4.2,206.0,30 minutes,1,1,0,0,greater_equal_4,1,0,0,0,Mumbai,6.762960694078903
"FTI College, Law College Road, Pune",100.0,50.0,3.4,16.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,3.996364153861897
"Rmz Centennial, I Gate, Whitefield",200.0,0.0,3.8,25.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Bengaluru,4.553876891600541
Delhi University-GTB Nagar,300.0,50.0,3.7,293.0,30 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Delhi,6.9885054286672466
"MG Road, Pune",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,1,0,Pune,0.0
"D-Block, Sector 63, Noida",200.0,50.0,3.8,66.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Noida,5.524655808758766
"Sector 1, Noida",200.0,50.0,3.5,39.0,45 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Noida,4.916324614625014
"Sector 14, Noida",200.0,50.0,3.7,185.0,65 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,6.528688644728503
"Chandni Chowk, Kolkata",100.0,50.0,3.4,163.0,30 minutes,1,1,0,0,3_to_3.9,2,0,1,0,Kolkata,6.317525632428878
"Panjetan Colony, Malakpet, Hyderabad",350.0,50.0,3.4,18.0,30 minutes,1,1,1,0,3_to_3.9,0,3,0,0,Hyderabad,4.11414718951828
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.9,67.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Bengaluru,5.565669172526567
"Sector 14, Noida",400.0,99.0,4.1,1265.0,30 minutes,1,1,1,1,greater_equal_4,2,0,0,1,Noida,8.553814374871882
"Sector 14, Noida",150.0,50.0,3.3,11.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,3.591817741270805
"Delhi Administration Flats, Timarpur",200.0,50.0,3.5,1240.0,65 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,8.375629627094451
"Nathan Road, Mangaldas Road, Pune",250.0,99.0,3.2,13.0,30 minutes,1,1,1,1,3_to_3.9,0,1,3,0,Pune,3.728100167267218
"Dockyard Road, Mumbai CST Area",250.0,50.0,3.0,5.0,30 minutes,1,1,1,0,3_to_3.9,1,1,1,0,Mumbai,2.70805020110221
"Sector 3, Marathalli",50.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Bengaluru,0.0
"Babarpur, New Delhi, Delhi",200.0,50.0,3.7,27.0,30 minutes,1,1,0,0,3_to_3.9,1,1,1,0,Delhi,4.604169685654508
"Sector 1, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,2,0,0,Noida,0.0
Delhi Cantt.,100.0,50.0,3.8,201.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Delhi,6.6383059747914155
"Moulali, Kolkata",100.0,50.0,3.4,19.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Kolkata,4.168214410788556
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.3,254.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Bengaluru,6.731256735490971
Majestic,250.0,99.0,3.7,107.0,45 minutes,1,1,1,1,3_to_3.9,1,2,1,0,Bengaluru,5.981161654112085
Delhi Cantt.,150.0,50.0,3.6,51.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,5.21275947818639
Delhi University-GTB Nagar,200.0,50.0,3.8,298.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Delhi,7.032094553237744
"MG Road, Pune",200.0,50.0,3.6,152.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,6.3048143663083405
"FTI College, Law College Road, Pune",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Pune,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,2.6,88.0,30 minutes,1,1,0,0,less_3,3,1,0,0,Bengaluru,5.432848259505643
"Sandhurst Road, Mumbai CST Area",300.0,99.0,4.3,136.0,45 minutes,1,1,1,1,greater_equal_4,1,0,0,0,Mumbai,6.371269908435568
"D-Block, Sector 63, Noida",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
Delhi Cantt.,200.0,50.0,3.4,18.0,30 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Delhi,4.11414718951828
"Sector 1, Noida",300.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,2,0,0,Noida,0.0
"Sector 14, Noida",100.0,50.0,3.3,14.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Noida,3.832979798087693
"Sandhurst Road, Mumbai CST Area",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,2,0,0,0,Mumbai,0.0
"Sector 14, Noida",150.0,50.0,3.7,71.0,30 minutes,1,1,0,0,3_to_3.9,2,0,0,1,Noida,5.571012696691494
"Rmz Centennial, I Gate, Whitefield",250.0,50.0,3.6,29.0,45 minutes,1,1,1,0,3_to_3.9,1,1,0,0,Bengaluru,4.648229675448539
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,3.6,11.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Bengaluru,3.6788291182604347
"MG Road, Pune",100.0,50.0,3.9,75.0,45 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Pune,5.678464666671911
"Nathan Road, Mangaldas Road, Pune",150.0,50.0,4.2,337.0,45 minutes,1,1,0,0,greater_equal_4,1,0,1,0,Pune,7.2551674556416845
"Sector 1, Noida",200.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Noida,0.0
"Sandhurst Road, Mumbai CST Area",150.0,0.0,3.4,15.0,30 minutes,1,1,0,0,3_to_3.9,2,1,0,0,Mumbai,3.9318256327243257
"Babarpur, New Delhi, Delhi",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Delhi,0.0
Delhi University-GTB Nagar,200.0,50.0,3.8,335.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Delhi,7.149131598557407
"Mico Layout, Stage 2, BTM Layout,Bangalore",100.0,50.0,3.7,17.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Bengaluru,4.141546163706395
"Delhi Administration Flats, Timarpur",600.0,50.0,4.4,1990.0,30 minutes,1,1,1,0,greater_equal_4,1,1,4,0,Delhi,9.077494458642754
"FTI College, Law College Road, Pune",150.0,50.0,3.7,36.0,30 minutes,1,1,0,0,3_to_3.9,1,2,1,0,Pune,4.891851758106289
Pune University,500.0,50.0,4.0,71.0,30 minutes,1,1,1,0,greater_equal_4,0,0,3,0,Pune,5.648974238161206
Delhi University-GTB Nagar,200.0,50.0,3.5,60.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,5.3471075307174685
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.5,10.0,30 minutes,1,1,0,0,3_to_3.9,3,0,0,0,Bengaluru,3.5553480614894135
Delhi University-GTB Nagar,100.0,50.0,3.6,66.0,30 minutes,1,1,0,0,3_to_3.9,0,1,0,0,Delhi,5.47058858748849
"Hyderabad Public School, Begumpet",100.0,50.0,4.3,131.0,30 minutes,1,1,0,0,greater_equal_4,0,1,0,0,Hyderabad,6.333812345900668
"Sector 1, Noida",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,3,1,0,0,Noida,0.0
"Sector 3, Marathalli",200.0,50.0,3.2,85.0,65 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Bengaluru,5.605802066295998
"D-Block, Sector 63, Noida",200.0,99.0,3.7,1056.0,65 minutes,1,1,0,1,3_to_3.9,1,0,0,0,Noida,8.270576283916386
"D-Block, Sector 63, Noida",200.0,50.0,3.7,164.0,30 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Noida,6.408199247474378
"Delhi Administration Flats, Timarpur",150.0,50.0,3.2,11.0,30 minutes,1,1,0,0,3_to_3.9,0,1,1,0,Delhi,3.5610460826040513
Delhi University-GTB Nagar,200.0,50.0,3.8,254.0,45 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Delhi,6.872335333750876
"Delhi High Court, India Gate",300.0,0.0,3.9,379.0,30 minutes,1,1,1,0,3_to_3.9,0,2,0,0,Delhi,7.298512758218027
"Sector 3, Marathalli",200.0,50.0,2.8,336.0,45 minutes,1,1,0,0,less_3,0,3,0,0,Bengaluru,6.8467305771443625
Majestic,200.0,50.0,3.8,35.0,30 minutes,1,1,0,0,3_to_3.9,1,0,1,0,Bengaluru,4.890349128221754
"Chandni Chowk, Kolkata",100.0,50.0,3.4,94.0,45 minutes,1,1,0,0,3_to_3.9,1,1,0,0,Kolkata,5.7670702138921195
"D-Block, Sector 63, Noida",150.0,50.0,3.1,11.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Noida,3.529297384289471
"Raja Bazar, Kolkata",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,1,0,0,Kolkata,0.0
Majestic,100.0,50.0,3.7,103.0,30 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,5.943061807879815
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,50.0,1.0,1.0,45 minutes,0,0,0,0,less_3,0,1,0,0,Bengaluru,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,1,0,0,0,Bengaluru,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",150.0,50.0,3.6,11.0,30 minutes,1,1,0,0,3_to_3.9,2,2,0,0,Bengaluru,3.6788291182604347
Delhi Cantt.,250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,3,0,0,Delhi,0.0
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,3.3,15.0,30 minutes,1,1,0,0,3_to_3.9,0,3,0,0,Bengaluru,3.901972669574645
Delhi University-GTB Nagar,250.0,50.0,1.0,1.0,30 minutes,0,0,1,0,less_3,0,1,0,0,Delhi,0.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",200.0,99.0,3.9,357.0,30 minutes,1,1,0,1,3_to_3.9,1,2,0,0,Bengaluru,7.23871233491524
Majestic,250.0,99.0,3.9,209.0,45 minutes,1,1,1,1,3_to_3.9,2,1,0,0,Bengaluru,6.703310805100412
Majestic,150.0,50.0,3.9,149.0,45 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Bengaluru,6.36492285908106
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150.0,50.0,3.7,44.0,65 minutes,1,1,0,0,3_to_3.9,2,0,0,0,Gurgaon,5.09252245356844
"Rmz Centennial, I Gate, Whitefield",100.0,50.0,3.8,207.0,65 minutes,1,1,0,0,3_to_3.9,1,0,0,0,Bengaluru,6.667719859997709
"MG Road, Pune",450.0,50.0,4.4,2709.0,45 minutes,1,1,1,0,greater_equal_4,0,1,2,0,Pune,9.38593938300931
"Rmz Centennial, I Gate, Whitefield",200.0,50.0,3.6,43.0,45 minutes,1,1,0,0,3_to_3.9,1,2,0,0,Bengaluru,5.042133961155627
Pune University,200.0,50.0,4.0,359.0,45 minutes,1,1,0,0,greater_equal_4,2,1,0,0,Pune,7.269616749608169
"Nathan Road, Mangaldas Road, Pune",100.0,50.0,1.0,1.0,30 minutes,0,0,0,0,less_3,0,1,0,0,Pune,0.0
"FTI College, Law College Road, Pune",200.0,50.0,3.1,26.0,45 minutes,1,1,0,0,3_to_3.9,0,2,0,0,Pune,4.389498649512583
"Sector 14, Noida",400.0,50.0,4.3,217.0,30 minutes,1,1,1,0,greater_equal_4,0,2,1,0,Noida,6.838512376239976
